"beat_num","crimes"
"421",2309
"1533",2216
"1834",2078
"423",2036
"624",1925
"1522",1868
"511",1866
"1133",1814
"1112",1773
"414",1766
"1122",1750
"1831",1697
"612",1688
"823",1672
"1134",1669
"621",1664
"111",1642
"1132",1640
"1113",1623
"2533",1610
"1011",1574
"712",1571
"1532",1509
"631",1508
"632",1503
"122",1498
"513",1497
"1121",1485
"825",1454
"112",1444
"321",1444
"2534",1425
"831",1413
"623",1385
"611",1367
"832",1355
"725",1353
"1531",1345
"833",1343
"1833",1343
"522",1323
"713",1323
"331",1307
"123",1305
"312",1300
"813",1300
"422",1294
"324",1289
"512",1289
"723",1283
"323",1281
"1924",1277
"1115",1274
"412",1271
"735",1269
"523",1264
"2532",1263
"424",1259
"613",1240
"733",1239
"834",1231
"2515",1231
"431",1230
"1424",1216
"332",1214
"835",1207
"1111",1203
"2422",1196
"2512",1189
"1021",1183
"2222",1183
"2521",1182
"2413",1166
"533",1162
"411",1161
"524",1151
"1135",1147
"1712",1143
"815",1135
"1022",1127
"322",1123
"2234",1116
"822",1113
"1723",1111
"1131",1108
"2212",1108
"2223",1108
"824",1102
"413",1094
"1123",1088
"1824",1083
"432",1074
"1524",1073
"212",1070
"922",1070
"1523",1062
"1633",1053
"1014",1044
"222",1042
"2232",1034
"1013",1029
"131",1019
"1925",1019
"1914",1018
"614",1012
"1031",1004
"1821",1002
"912",1001
"1223",999
"1622",997
"2531",993
"1232",988
"924",978
"622",971
"711",968
"2535",957
"1024",955
"334",952
"726",948
"1511",943
"133",942
"1623",937
"2514",936
"1722",935
"731",933
"915",931
"724",926
"934",926
"1732",925
"531",923
"634",914
"1012",907
"913",905
"124",902
"921",898
"1221",891
"1034",889
"1434",889
"1225",886
"1222",881
"821",876
"932",876
"2221",876
"1233",875
"1731",870
"1432",869
"1513",868
"734",865
"114",857
"2522",853
"1234",852
"732",851
"1634",844
"1923",844
"313",842
"1422",839
"914",837
"113",835
"532",823
"314",818
"1913",815
"1124",814
"1215",814
"2412",812
"1624",807
"931",802
"633",801
"1214",799
"2523",798
"722",795
"1935",793
"1433",786
"811",785
"2411",785
"1512",784
"1033",783
"2233",780
"223",777
"1934",777
"333",776
"2011",774
"1224",773
"121",771
"923",769
"1211",760
"211",756
"933",756
"213",755
"2213",753
"2432",748
"132",747
"231",744
"433",743
"2211",734
"232",729
"1733",728
"1933",725
"2511",723
"1231",719
"1724",713
"225",712
"234",708
"925",705
"1832",705
"714",700
"1421",693
"1213",689
"1212",686
"1423",685
"1412",680
"715",676
"2424",676
"1023",675
"1235",675
"1114",674
"1911",673
"2524",673
"214",671
"1822",670
"2433",666
"1632",661
"1814",661
"1713",658
"311",656
"224",654
"1922",644
"935",634
"812",629
"1915",628
"1931",626
"814",617
"1411",608
"1711",606
"1921",601
"1811",599
"2525",597
"1631",595
"221",593
"911",586
"1812",585
"1413",575
"2023",566
"1932",563
"1414",557
"2513",554
"2423",551
"434",544
"233",543
"2024",538
"1032",536
"1912",533
"215",526
"1431",518
"1651",514
"1613",502
"1614",475
"1823",472
"1611",454
"2031",449
"1612",445
"2013",442
"2012",439
"1813",432
"235",408
"2431",408
"2033",392
"1125",367
"2032",335
"1654",328
"2022",317
"1653",311
"1621",273
"1655",95
"1652",85